# Falsification bench for `sem-grep refs <symbol>` — tree-sitter
# identifier-capture xref precision on the polyglot assise repos. 20 hand-
# checked cases: unique names, shadowed names (`db`, `main`), cross-language
# same-name, nix attrs, ≥1 rust fn from iets. For each: `sem-grep refs <sym>`,
# diff against expected. Pass bar: ≥16/20 surface every expected hit AND ≤2
# false-positive *files* per query (extra-line FPs in an expected file are
# fine — we want file-level nav). Fail → ts-identifier xref isn't good enough
# for the 3.8B agent loop; file the per-language-LSP-behind-infer-queue item.
# Scoring run gated on nv1 deploy (needs the live index.db); hand-check below
# is against current sibling working trees.
#
# <symbol>\t<expected repo/path:line,...>
sigs_of	home/packages/sem-grep/sem-grep.py:232
_ts_lang	home/packages/sem-grep/sem-grep.py:176
load_embedder	home/packages/sem-grep/sem-grep.py:209,280,355,378,408,429
load_reranker	home/packages/sem-grep/sem-grep.py:386,441
git_tracked	home/packages/sem-grep/sem-grep.py:215
chunk_text	home/packages/sem-grep/sem-grep.py:440
refs_of	home/packages/sem-grep/sem-grep.py
db	home/packages/sem-grep/sem-grep.py:208,257,346,369,402,423
main	home/packages/sem-grep/sem-grep.py kin/cli/kin/__main__.py
fetch_hf_repo	home/packages/sem-grep/default.nix:56,61 home/packages/lib/fetch-model.sh
mkFleet	home/flake.nix:134 kin/lib/default.nix
fleetManifest	home/flake.nix:169
writeShellApplication	home/packages/sem-grep/default.nix home/packages/kin-opts/default.nix home/packages/now-context/default.nix
resolve_machine	kin/cli/kin/deploy.py:285,1077
cmd_reconcile	kin/cli/kin/__main__.py:27
mkMesh	maille/tests/adversarial/ca-rotate.nix maille/tests/adversarial/accept-stranger-flood.nix
fingerprint	iets/crates/evaluator/iets-query/src/cache.rs iets/crates/evaluator/iets-query/src/fingerprint.rs
QueryCursor	home/packages/sem-grep/sem-grep.py
RERANK_POOL	home/packages/sem-grep/sem-grep.py:385,439
GRAMMARS	home/packages/sem-grep/sem-grep.py
